Start,Length,Vib,Press,Delay,Block,FN,FP
0,3000,0,0,NaN,0,0,0
3000,3000,0,0,NaN,0,0,0
6000,3000,0,0,NaN,0,0,0
9000,3000,0,0,NaN,0,0,0
12000,3000,0,0,NaN,0,0,0
15000,3000,0,0,NaN,0,0,0
18000,3000,0,0,NaN,0,0,0
21000,3000,0,0,NaN,0,0,0
24000,3000,0,0,NaN,0,0,0
27000,3000,0,0,NaN,0,0,0
30000,3000,0,0,NaN,0,0,0
33000,3000,0,0,NaN,0,0,0
36000,3000,0,0,NaN,0,0,0
39000,3000,0,0,NaN,0,0,0
42000,3000,0,0,NaN,0,0,0
45000,3000,0,0,NaN,0,0,0
48000,3000,0,0,NaN,0,0,0
51000,3000,0,0,NaN,0,0,0
54000,3000,0,0,NaN,0,0,0
57000,3000,0,0,NaN,0,0,0
60000,3000,0,0,NaN,0,0,0
63000,3000,0,0,NaN,0,0,0
66000,3000,0,0,NaN,0,0,0
69000,3000,0,0,NaN,0,0,0
72000,3000,0,0,NaN,0,0,0
75000,3000,0,0,NaN,0,0,0
78000,3000,0,0,NaN,0,0,0
81000,3000,0,0,NaN,0,0,0
84000,3000,0,0,NaN,0,0,0
87000,3000,0,0,NaN,0,0,0
90000,3000,0,0,NaN,0,0,0
93000,3000,0,0,NaN,0,0,0
96000,3000,0,0,NaN,0,0,0
99000,3000,0,0,NaN,0,0,0
102000,3000,0,0,NaN,0,0,0
105000,3000,0,0,NaN,0,0,0
108000,3000,0,0,NaN,0,0,0
111000,3000,0,0,NaN,0,0,0
114000,3000,0,0,NaN,0,0,0
117000,3000,0,0,NaN,0,0,0
120000,3000,1,1,1642,4,0,0
123000,2964,0,0,NaN,4,0,0
125964,3000,1,1,610,4,0,0
128964,2942,0,0,NaN,4,0,0
131906,3000,1,1,465,4,0,0
134906,2935,0,1,NaN,4,0,1
137841,3000,1,1,500,4,0,0
140841,2938,0,0,NaN,4,0,0
143779,3000,1,1,284,4,0,0
146779,2944,0,0,NaN,4,0,0
149723,3000,1,1,365,4,0,0
152723,3000,0,0,NaN,4,0,0
155723,32,0,0,NaN,4,0,0
155755,3000,1,1,379,4,0,0
158755,2848,0,0,NaN,4,0,0
161603,3000,1,1,337,4,0,0
164603,3000,0,0,NaN,4,0,0
167603,3000,0,0,NaN,4,0,0
170603,3000,0,0,NaN,4,0,0
173603,956,0,0,NaN,4,0,0
174559,3000,1,1,697,4,0,0
177559,3000,0,0,NaN,4,0,0
180559,3000,0,0,NaN,4,0,0
183559,3000,0,0,NaN,4,0,0
186559,950,0,0,NaN,4,0,0
187509,2620,1,1,559,4,0,0
190129,380,0,1,NaN,4,0,1
190509,3000,0,0,NaN,4,0,0
193509,3000,0,0,NaN,4,0,0
196509,3000,0,0,NaN,4,0,0
199509,938,0,0,NaN,4,0,0
200447,3000,1,1,568,4,0,0
203447,3000,0,0,NaN,4,0,0
206447,3000,0,0,NaN,4,0,0
209447,3000,0,0,NaN,4,0,0
212447,990,0,0,NaN,4,0,0
213437,3000,1,1,579,4,0,0
216437,3000,0,0,NaN,4,0,0
219437,3000,0,0,NaN,4,0,0
222437,3000,0,0,NaN,4,0,0
225437,921,0,0,NaN,4,0,0
226358,3000,1,1,1350,4,0,0
229358,3000,0,1,NaN,4,0,1
232358,3000,0,0,NaN,4,0,0
235358,3000,0,0,NaN,4,0,0
238358,958,0,0,NaN,4,0,0
239316,3000,1,1,726,4,0,0
242316,3000,0,0,NaN,4,0,0
245316,3000,0,0,NaN,4,0,0
248316,3000,0,0,NaN,4,0,0
251316,948,0,0,NaN,4,0,0
252264,3000,1,1,485,4,0,0
255264,3000,0,0,NaN,4,0,0
258264,2911,0,0,NaN,4,0,0
261175,3000,1,1,1165,4,0,0
264175,3000,0,0,NaN,4,0,0
267175,2976,0,0,NaN,4,0,0
270151,3000,1,1,514,4,0,0
273151,3000,0,0,NaN,4,0,0
276151,2948,0,0,NaN,4,0,0
279099,3000,1,1,678,4,0,0
282099,3000,0,0,NaN,4,0,0
285099,2945,0,0,NaN,4,0,0
288044,3000,1,1,797,4,0,0
291044,3000,0,0,NaN,4,0,0
294044,2958,0,0,NaN,4,0,0
297002,3000,1,1,1591,4,0,0
300002,3000,0,0,NaN,4,0,0
303002,2937,0,0,NaN,4,0,0
305939,3000,1,1,770,4,0,0
308939,3000,0,0,NaN,4,0,0
311939,2962,0,0,NaN,4,0,0
314901,3000,1,1,679,4,0,0
317901,3000,0,0,NaN,4,0,0
320901,2936,0,0,NaN,4,0,0
323837,3000,1,1,720,4,0,0
326837,3000,0,0,NaN,4,0,0
329837,2963,0,0,NaN,4,0,0
332800,3000,1,1,830,4,0,0
335800,3000,0,0,NaN,4,0,0
338800,3000,0,0,NaN,4,0,0
341800,3000,0,0,NaN,4,0,0
344800,3000,0,0,NaN,4,0,0
